
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Phase 1: Cloud broadcasting to 2 edges...
  [Edge 0] G-Round 1 | E-Round 1 | Selected 68/98 clients
  [Client 59] Round 2 | loss=1.9394 | time=0.7s
  [Client 68] Round 2 | loss=1.5526 | time=0.5s
  [Client  3] Round 2 | loss=1.5825 | time=1.4s
  [Client 32] Round 2 | loss=1.4999 | time=0.8s
  [Client 61] Round 2 | loss=1.2446 | time=0.7s
  [Client 60] Round 2 | loss=1.6969 | time=0.8s
  [Client 45] Round 2 | loss=1.7007 | time=0.7s
  [Client 73] Round 2 | loss=1.9402 | time=1.0s
  [Client  7] Round 2 | loss=1.8536 | time=0.3s
  [Client 75] Round 2 | loss=1.8122 | time=0.6s
  [Client  4] Round 2 | loss=1.7978 | time=1.2s
  [Client 58] Round 2 | loss=1.6969 | time=0.6s
  [Client  9] Round 2 | loss=1.8659 | time=0.8s
  [Client 78] Round 2 | loss=1.4256 | time=1.3s
  [Client 89] Round 2 | loss=1.9241 | time=0.6s
  [Client 47] Round 2 | loss=1.6826 | time=1.2s
  [Edge 0] G-Round 2 | E-Round 1 | loss=1.6619
  [Edge 0] G-Round 2 | E-Round 2 | Selected 68/98 clients
  [Client 53] Round 2 | loss=1.5421 | time=0.8s
  [Client 95] Round 2 | loss=1.1451 | time=0.8s
  [Client 30] Round 2 | loss=1.4844 | time=0.7s
  [Client 68] Round 2 | loss=1.4197 | time=0.5s
  [Client 81] Round 2 | loss=1.6374 | time=0.7s
  [Client 17] Round 2 | loss=2.0033 | time=0.3s
  [Client 58] Round 2 | loss=1.7013 | time=0.6s
  [Client 56] Round 2 | loss=1.7178 | time=0.9s
  [Client 90] Round 2 | loss=1.9490 | time=0.9s
  [Client 37] Round 2 | loss=1.7011 | time=1.4s
  [Client 65] Round 2 | loss=1.5360 | time=0.4s
  [Client 67] Round 2 | loss=1.6505 | time=1.5s
  [Client 55] Round 2 | loss=1.7799 | time=0.9s
  [Client  8] Round 2 | loss=1.6758 | time=1.1s
  [Client 99] Round 2 | loss=1.8436 | time=2.0s
  [Client 72] Round 2 | loss=1.8288 | time=1.6s
  [Client  9] Round 2 | loss=1.8619 | time=0.8s
  [Client 36] Round 2 | loss=1.3474 | time=1.1s
  [Client 78] Round 2 | loss=1.3937 | time=1.3s
  [Client 14] Round 2 | loss=2.0123 | time=0.5s
  [Client  4] Round 2 | loss=1.8082 | time=1.2s
  [Client 20] Round 2 | loss=1.4146 | time=1.0s
